COM;Pot_Cont;Escalao;ORD;COD_Proposta;Contagem;TF;TV|TVFV|TVP;TVV|TVC;TVVz;TFGN;TVGN
EDPSU;1,15;;;TUR;1;0,085;0,1609;;;;
EDPSU;2,3;;;TUR;1;0,1413;0,1609;;;;
EDPSU;3,45;;;TUR;1;0,1786;0,1658;;;;
EDPSU;4,6;;;TUR;1;0,2325;0,1658;;;;
EDPSU;5,75;;;TUR;1;0,286;0,1658;;;;
EDPSU;6,9;;;TUR;1;0,3396;0,1658;;;;
EDPSU;10,35;;;TUR;1;0,5004;0,1658;;;;
EDPSU;13,8;;;TUR;1;0,6612;0,1658;;;;
EDPSU;17,25;;;TUR;1;0,822;0,1658;;;;
EDPSU;20,7;;;TUR;1;0,9827;0,1658;;;;
EDPSU;27,6;;;TUR;1;;;;;;
EDPSU;34,5;;;TUR;1;;;;;;
EDPSU;41,4;;;TUR;1;;;;;;
EDPSU;1,15;;;TUR;2;0,085;0,2008;0,1094;;;
EDPSU;2,3;;;TUR;2;0,1413;0,2008;0,1094;;;
EDPSU;3,45;;;TUR;2;0,1786;0,2008;0,1094;;;
EDPSU;4,6;;;TUR;2;0,2325;0,2008;0,1094;;;
EDPSU;5,75;;;TUR;2;0,286;0,2008;0,1094;;;
EDPSU;6,9;;;TUR;2;0,3396;0,2008;0,1094;;;
EDPSU;10,35;;;TUR;2;0,5004;0,2008;0,1094;;;
EDPSU;13,8;;;TUR;2;0,6612;0,2008;0,1094;;;
EDPSU;17,25;;;TUR;2;0,822;0,2008;0,1094;;;
EDPSU;20,7;;;TUR;2;0,9827;0,2008;0,1094;;;
EDPSU;27,6;;;TUR;2;;;;;;
EDPSU;34,5;;;TUR;2;;;;;;
EDPSU;41,4;;;TUR;2;;;;;;
EDPSU;1,15;;;TUR;3;0,085;0,2448;0,1777;0,1094;;
EDPSU;2,3;;;TUR;3;0,1413;0,2448;0,1777;0,1094;;
EDPSU;3,45;;;TUR;3;0,1786;0,2448;0,1777;0,1094;;
EDPSU;4,6;;;TUR;3;0,2325;0,2448;0,1777;0,1094;;
EDPSU;5,75;;;TUR;3;0,286;0,2448;0,1777;0,1094;;
EDPSU;6,9;;;TUR;3;0,3396;0,2448;0,1777;0,1094;;
EDPSU;10,35;;;TUR;3;0,5004;0,2448;0,1777;0,1094;;
EDPSU;13,8;;;TUR;3;0,6612;0,2448;0,1777;0,1094;;
EDPSU;17,25;;;TUR;3;0,822;0,2448;0,1777;0,1094;;
EDPSU;20,7;;;TUR;3;0,9827;0,2448;0,1777;0,1094;;
EDPSU;27,6;;;TUR;3;1,3135;0,2986;0,163;0,0947;;
EDPSU;34,5;;;TUR;3;1,634;0,2986;0,163;0,0947;;
EDPSU;41,4;;;TUR;3;1,9545;0,2986;0,163;0,0947;;
CURBEI;;1;BEI;CUR;;;;;;0,0839;0,0638
CURBEI;;2;BEI;CUR;;;;;;0,1263;0,0598
CURBEI;;3;BEI;CUR;;;;;;0,1631;0,0568
CURBEI;;4;BEI;CUR;;;;;;0,1934;0,0557
CURDIA;;1;DIA;CUR;;;;;;0,0839;0,0638
CURDIA;;2;DIA;CUR;;;;;;0,1263;0,0598
CURDIA;;3;DIA;CUR;;;;;;0,1631;0,0568
CURDIA;;4;DIA;CUR;;;;;;0,1934;0,0557
CURSON;;1;SON;CUR;;;;;;0,0839;0,0638
CURSON;;2;SON;CUR;;;;;;0,1263;0,0598
CURSON;;3;SON;CUR;;;;;;0,1631;0,0568
CURSON;;4;SON;CUR;;;;;;0,1934;0,0557
CURDUR;;1;DUR;CUR;;;;;;0,0839;0,0638
CURDUR;;2;DUR;CUR;;;;;;0,1263;0,0598
CURDUR;;3;DUR;CUR;;;;;;0,1631;0,0568
CURDUR;;4;DUR;CUR;;;;;;0,1934;0,0557
CURLIS;;1;LIS;CUR;;;;;;0,0839;0,0638
CURLIS;;2;LIS;CUR;;;;;;0,1263;0,0598
CURLIS;;3;LIS;CUR;;;;;;0,1631;0,0568
CURLIS;;4;LIS;CUR;;;;;;0,1934;0,0557
CURLUS;;1;LUS;CUR;;;;;;0,0839;0,0638
CURLUS;;2;LUS;CUR;;;;;;0,1263;0,0598
CURLUS;;3;LUS;CUR;;;;;;0,1631;0,0568
CURLUS;;4;LUS;CUR;;;;;;0,1934;0,0557
CURMED;;1;MED;CUR;;;;;;0,0839;0,0638
CURMED;;2;MED;CUR;;;;;;0,1263;0,0598
CURMED;;3;MED;CUR;;;;;;0,1631;0,0568
CURMED;;4;MED;CUR;;;;;;0,1934;0,0557
CURPAX;;1;PAX;CUR;;;;;;0,0839;0,0638
CURPAX;;2;PAX;CUR;;;;;;0,1263;0,0598
CURPAX;;3;PAX;CUR;;;;;;0,1631;0,0568
CURPAX;;4;PAX;CUR;;;;;;0,1934;0,0557
CURREN;;1;REN;CUR;;;;;;0,0839;0,0638
