COM;COD_Proposta;NomeProposta;TxTModalidade;Segmento;TipoContagem;ConsIni_GN;ConsFim_GN;ConsIni_ELE;ConsFim_ELE;Fornecimento;DuracaoContrato;Data ini;Data fim;FiltroContratacao;Filtrofaturacao;FiltroPagamento;FiltroAtendimento;FiltroFidelização;FiltroRenovavel;FiltroRestrições;FiltroPrecosIndex;FiltroServicosAdic;FiltroTarifaSocial;FiltroReembolsos;FiltroNovosClientes;CustoServicos_s/IVA (€/ano);CustoServicos_c/IVA (€/ano);ReembFixo (€/ano);ReembTF_ELE (%);ReembTW_ELE (%);ReembW_ELE (€/kWh);ReembTF_GN (%);ReembTW_GN (%);ReembW_GN (€/kWh);DescontNovoCliente_c/IVA (€/ano);Desc. TF_ELE (%) - Novo Cliente;Desc. TW_ELE (%) - Novo Cliente;Desc. W_ELE (€/kWh) - Novo Cliente;Desc. TF_GN (%) - Novo Cliente;Desc. TW_GN (%) - Novo Cliente;Desc. W_GN (€/kWh) - Novo Cliente;TxTOferta;TxTERSE;LinkCOM;LinkOfertaCom;LinkFichaPadrao;LinkCondicoesGerais;ContactoComercialTel;ContactoWEBouMAIL;Contrat_Elect;Contrat_Presen;Contrat_Telef;TxTContratação;TxTFatura;TxTPagamento;TxTAtendimento;TxTFaturacao;TxTFidelização;TxTRestricoesAdic;Detalhe restrições;DetalheOutrosDesc/benefi;TxTAtualizaPrecos;TxTServicoAdic;TxToutrosServicoAdic;TxTReembolsos
EDPSU;TUR;Condições de preço regulado; ;Tod;123;;;;;ELE;12;01/01/2025;31/12/2025;111;11;111;1111;N;N;N;N;N;S;N;N;;;;;;;;;;;;;;;;;Tarifa Regulada de Último Recurso e Tarifas em regime equiparado;Oferta disponibilizada pela SU Eletricidade. Para opções simples e bi-horárias com potências inferiores ou iguais a 20,7 kVA a Goldenergy apresenta condições de preço regulado (Regime Equiparado ao abrigo da Portaria n.º 348/2017).;https://www.erse.pt/media/0fqpafb0/comunicado_regime-equiparado_vf.pdf;https://sueletricidade.pt/pt-pt/complex-pages/4151/tarifas-baixa-tensao-normal; ;https://cms.sueletricidade.pt/sites/default/files/2020-11/Contratos%20SU%20ELETRICIDADE%20-%20Condi%C3%A7%C3%B5es%20gerais%20BTN.pdf;808505505;https://sueletricidade.pt/pt-pt/page/636/fazer-um-novo-contrato;https://sueletricidade.pt/pt-pt/contacts;https://sueletricidade.pt/pt-pt/lojas;808505505;Eletrónical, Presencial, Telefónica;Fatura eletrónica, Fatura em papel, ;Débito Direto, Multibanco, Numerário/Payshop/CTT;Por escrito, Presencial, Telefónico, Eletrónico;Mensal, Bi-mestral;Não tem fidelização;-;-;-;-;-;-;-
CUR;CUR;Tarifa Mercado Regulado; ;Tod; ;;;;;GN;12;01/10/2024;30/09/2025;111;11;111;1111;N;N;N;N;N;S;N;N;;;;;;;;;;;;;;;;;Tarifa Transitória;Tarifa transitória aplicável aos consumidores no mercado regulado de gás natural.;NA;NA;;; ; ; ; ; ;Eletrónical, Presencial, Telefónica;Fatura eletrónica, Fatura em papel, ;Débito Direto, Multibanco, Numerário/Payshop/CTT;Por escrito, Presencial, Telefónico, Eletrónico;Mensal, Bi-mestral;Não tem fidelização;-;-;-;-;-;-;-
U1;U1;A minha fatura; ;Tod;123;;;;;ELE;12;;;111;11;111;1111;N;N;N;N;N;S;N;N;;;;;;;;;;;;;;;;;Preços do Utilizador; ;;;;; ; ; ; ; ;Utilizador;Utilizador;Utilizador;Utilizador;Utilizador;Utilizador;-;-;-;-;-;-;-
ACCIONA;ACCIONA_02;EMPRESAS 100% RENOVÁVEL;;Ndom;123;;;;;ELE;12;01/09/2025;08/10/2025;100;10;100;1011;S;S;N;N;N;N;N;N;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Energia 100% Renovável. Inclui Garantias de Origem. ;A oferta comercial apresenta condições de fidelização associada à adesão ao contrato. A oferta apresenta condições de energia elétrica proveniente de fontes 100% renováveis. ;https://energianegocios.acciona-energia.com/?gad_source=1&gclid=EAIaIQobChMIirPUx7eBiQMVFhEGAB08zDuwEAAYASAAEgJYxPD_BwE;https://energianegocios.acciona-energia.com/?gad_source=1&gclid=EAIaIQobChMIirPUx7eBiQMVFhEGAB08zDuwEAAYASAAEgJYxPD_BwE;https://energianegocios.acciona-energia.com/?gad_source=1&gclid=EAIaIQobChMIirPUx7eBiQMVFhEGAB08zDuwEAAYASAAEgJYxPD_BwE;https://energianegocios.acciona-energia.com/?gad_source=1&gclid=EAIaIQobChMIirPUx7eBiQMVFhEGAB08zDuwEAAYASAAEgJYxPD_BwE;800911416;apoioclientes@acciona.com;E-mail;;;Eletrónica;Fatura eletrónica;Débito Direto;Por escrito, Telefónico, Eletrónico;Faturação Mensal;A fidelização terá a duração do período contratual acordado entre o comercializador e o cliente.O montante a pagar pelo incumprimento do período de fidelização será calculado com base no volume de energia restante até ao final do contrato, considerando o "Consumo Anual Estimado" e a diferença entre o preço fixo acordado e as cotações do mercado OMIP ou mercado equivalente. Serão ainda adicionados montantes pendentes e outros custos suportados pelo comercializador devido à cessação do contrato.;;;;Atualização dos preços em função das alterações nas tarifas de acesso às redes aprovadas pela ERSE.   Hidrica Solar Eólica Biomassa.  ;;;
ACCIONA;ACCIONA_01;EMPRESAS 100% RENOVÁVEL;;Ndom;123;;;;;ELE;12;01/09/2025;08/10/2025;100;10;100;1011;N;S;N;S;N;N;N;N;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Energia 100% Renovável. Inclui Garantias de Origem. ;A oferta apresenta condições de energia elétrica proveniente de fontes 100% renováveis. Esta oferta está indexada ao Mercado Spot de eletricidade (OMIE), estando sujeita à volatilidade de preços do mercado grossista. Os preços de energia são calculados com base no preço médio dos produtos futuros para os próximos 12 meses (0,06617 €/kWh). ;https://energianegocios.acciona-energia.com/?gad_source=1&gclid=EAIaIQobChMIirPUx7eBiQMVFhEGAB08zDuwEAAYASAAEgJYxPD_BwE;https://energianegocios.acciona-energia.com/?gad_source=1&gclid=EAIaIQobChMIirPUx7eBiQMVFhEGAB08zDuwEAAYASAAEgJYxPD_BwE;https://energianegocios.acciona-energia.com/?gad_source=1&gclid=EAIaIQobChMIirPUx7eBiQMVFhEGAB08zDuwEAAYASAAEgJYxPD_BwE;https://energianegocios.acciona-energia.com/?gad_source=1&gclid=EAIaIQobChMIirPUx7eBiQMVFhEGAB08zDuwEAAYASAAEgJYxPD_BwE;800911416;apoioclientes@acciona.com;E-mail;;;Eletrónica;Fatura eletrónica;Débito Direto;Por escrito, Telefónico, Eletrónico;Faturação Mensal;;;;;Atualização dos preços em função das alterações nas tarifas de acesso às redes aprovadas pela ERSE.   Hidrica Solar Eólica Biomassa.  IndexaçãoPreço Indexado = (PMD + Ai + Bi) * Ki + CGPMD = OMIE Ki = 1 + PerdR Ai = RTTeRe + BRSBi= ROM + VEDCG = GDOs + MC.;;;
ALFAENERGIA;ALFAENERGIA_03;Tarifa ALFA GÁS FIXO BASE;Tarifa Fixa;Dom;;;10000;;;GN;12;18/08/2025;;101;11;110;1011;N;N;N;N;N;S;N;N;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Tarifário aplicável para contratos de clientes domésticos em Baixa Pressão < 10.000 m3.Tarifa aplicada para novas Adesões a partir de 18/08/2025.A aplicação deste tarifário está sujeita uma prévia avaliação de risco do cliente, por parte da Alfa Energia.;;https://www.alfaenergia.pt;https://www.alfaenergia.pt/gas_natural;https://alfaenergia.pt/pdf/fin/PE.058.CG.001-FIN-GAS.pdf;https://alfaenergia.pt/pdf/documentos/PG.059.CG.001-Condicoes_Gerais_Contrato_GAS.pdf;234661194;info@alfaenergia.pt;info@alfaenergia.pt/ www.alfaenergia.pt;;234661194;Eletrónica, Telefónica;Fatura eletrónica, Fatura em papel;Débito Direto, Multibanco;Por escrito, Telefónico, Eletrónico;Faturação Mensal ou Bimensal;;;;;Atualização dos preços em função das alterações nas tarifas de acesso às redes aprovadas pela ERSE.     ;;;
ALFAENERGIA;ALFAENERGIA_04;Tarifa ALFA NEGÓCIOS INDEX BTN;Tarifa Indexada;Ndom;123;;;;;ELE;12;12/09/2025;31/12/2025;101;11;110;1011;N;N;N;S;N;N;N;N;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Este tarifário é indexado ao mercado e aplicável a clientes BTN não doméstico.O preço com referência aos preços OMIE de agosto 2025, supondo CGS= 18,09 €/MWh e perdas de 16,03%;Esta oferta está indexada ao Mercado Spot de eletricidade (OMIE), estando sujeita à volatilidade de preços do mercado grossista. Os preços de energia são calculados com base no preço médio dos produtos futuros para os próximos 12 meses (0,06617 €/kWh). ;https://www.alfaenergia.pt;https://www.alfaenergia.pt/tarifas/empresa/0/simples/1?social=0;https://www.alfaenergia.pt/pdf/FIN-ALFA_NEGOCIOS_INDEX_BTN.pdf;https://www.alfaenergia.pt/pdf/PG.030.006.CE-Condicoes-Gerais-Globais.pdf?v=1;234661194;info@alfaenergia.pt;info@alfaenergia.pt/ www.alfaenergia.pt;;234661194;Eletrónica, Telefónica;Fatura eletrónica, Fatura em papel;Débito Direto, Multibanco;Por escrito, Telefónico, Eletrónico;Faturação Mensal;;;;;Atualização dos preços em função das alterações nas tarifas de acesso às redes aprovadas pela ERSE.     Atualização em função do OMIE e segundo a fórmula: Preço=(OMIEh+CGSh)∗(1+Perdash)+KpEm que:Preço = Preço de energia ativa a pagar (em €/kWh)OMIE   = Preço de energia por hora, no mercado OMIE (em €/kWh),CGS = Custos de gestão geral do sistema incluindo os desvios,Perdash = são as perdas fixadas pela ERSE (www.erse.pt)kp = Valor fixo correspondente aos gastos operacionais da Alfa Energia (em €/kWh).;;;
ALFAENERGIA;ALFAENERGIA_01;Tarifa ALFA POWER;Tarifa Fixa;Dom;123;;;;;ELE;12;13/09/2025;31/12/2025;101;11;110;1011;N;N;N;N;N;S;N;N;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Tarifário aplicável para contratos de clientes domésticos e Empresariais em BTN com horário simples, bi-horário ou tri-horário.Tarifa aplicada para novas Adesões a partir de 13/09/2025.A aplicação deste tarifário está sujeita uma prévia avaliação de risco do cliente, por parte da Alfa Energia.;;https://www.alfaenergia.pt;https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1;https://www.alfaenergia.pt/pdf/fin/FIN-ALFA_POWER-202407.pdf;https://www.alfaenergia.pt/pdf/documentos/PG.030.CG-Condicoes_Gerais_Contrato.pdf;234661194;info@alfaenergia.pt;info@alfaenergia.pt/ www.alfaenergia.pt;;234661194;Eletrónica, Telefónica;Fatura eletrónica, Fatura em papel;Débito Direto, Multibanco;Por escrito, Telefónico, Eletrónico;Faturação Mensal;;;;;Atualização dos preços em função das alterações nas tarifas de acesso às redes aprovadas pela ERSE.     ;;;
ALFAENERGIA;ALFAENERGIA_02;Tarifa ALFA POWER INDEX BTN;Tarifa Indexada;Dom;123;;;;;ELE;12;12/09/2025;31/12/2025;101;11;110;1011;N;N;N;S;N;S;N;N;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Este tarifário é indexado ao mercado e aplicável a clientes BTN Residencial.O preço com referência aos preços OMIE de agosto 2025, supondo CGS= 18,09 €/MWh e perdas de 16,03%;Esta oferta está indexada ao Mercado Spot de eletricidade (OMIE), estando sujeita à volatilidade de preços do mercado grossista. Os preços de energia são calculados com base no preço médio dos produtos futuros para os próximos 12 meses (0,06617 €/kWh). ;https://www.alfaenergia.pt;https://www.alfaenergia.pt/tarifas/domestico/0/simples/1?social=0;https://www.alfaenergia.pt/pdf/fin/FIN-ALFA_POWER_INDEX_BTN-202407.pdf;https://www.alfaenergia.pt/pdf/documentos/PG.030.CG-Condicoes_Gerais_Contrato.pdf;234661194;info@alfaenergia.pt;info@alfaenergia.pt/ www.alfaenergia.pt;;234661194;Eletrónica, Telefónica;Fatura eletrónica, Fatura em papel;Débito Direto, Multibanco;Por escrito, Telefónico, Eletrónico;Faturação Mensal;;;;;Atualização dos preços em função das alterações nas tarifas de acesso às redes aprovadas pela ERSE.     Atualização em função do OMIE e segundo a fórmula: Preço=(OMIEh+CGSh)∗(1+Perdash)+KpEm que:Preço = Preço de energia ativa a pagar (em €/kWh)OMIE   = Preço de energia por hora, no mercado OMIE (em €/kWh),CGS = Custos de gestão geral do sistema incluindo os desvios,Perdash = são as perdas fixadas pela ERSE (www.erse.pt)kp = Valor fixo correspondente aos gastos operacionais da Alfa Energia (em €/kWh).;;;
AUDAX;AUDAX_03;TOP - Fixo de 12 meses;;Tod;123;;;;;ELE;12;21/07/2025;;010;11;110;1011;S;N;N;N;N;S;S;N;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Campanha Tarifa Fixa.Possibilidade de solicitar energia 100% renovável mediante um preço adicional de 0,012 €/kWh sobre os preços informados. ;A oferta comercial apresenta condições de fidelização associada à adesão ao contrato. O valor da fatura inclui um reembolso/desconto aplicável a todos os clientes. ;https://www.audaxrenewables.pt;https://www.audaxrenewables.pt/pt/tarifas/particulares/hogar-tarifa-fija/;https://www.audaxrenewables.pt/pt/ajudamos-te/ficha-padronizada/;https://www.audaxrenewables.pt/pt/tarifas/particulares/hogar-tarifa-fija/;211205758;comercial8@audaxrenewables.pt;;https://www.audaxrenewables.pt/pt/contacto;;Presencial;Fatura eletrónica, Fatura em papel;Débito Direto, Multibanco;Por escrito, Telefónico, Eletrónico;faturação mensal;Fidelização de 12 meses (prevista nas Condições Gerais do contrato);;;;;;;25% de desconto já aplicado nos preços comunicados na tabela das Condições Económicas. 
